id	nv	ru	en
608	ӄ’оӻӈи	"бузина (ягода, кустарник) "	
609	ӄ’од	спать	
610	ӄ’о	спальный	
611	"ӄ’о ӄад, илғд"	ЛеДОХОД	
612	ӄ’ол I	1) ствол (ружья); 2) труба 	
613	ӄ’ол II	краснопёрка (рыба) 	
614	ӄ’омб	поварёшка	
615	"ӄ’оми, ӽоми"	сбоку	
616	ӄ’омӄ	икра (сушёная)	
617	ӄ’омр̆	1. песок; 2. песчаный	
618	ӄ’онуд	быть белым	
619	ӄ’ону	белый	
620	"ӄ’орд, ӄ’олад"	быть богатым	
621	ӄ’орла	богатый	
622	ӄ’ос	1. шея; 2. шейный 	
623	ӄ’остаӻвр̆	шарф	
624	ӄ’отюд	молчать	
625	ӄ’оф	"1) место для ночлега, ночлег; 2) спальня"	
626	ӄ’оюд	"1) кричать, вопить, ныть; 2) шуметь, греметь (издавать громкие звуки) "	
627	ла	1) ветер; 2) погода 	
628	лавд I 	"1) прислоняться; 2) причаливать, приставать к берегу"	
629	лавд II 	идти рядом (бок о бок)	
630	лавӄор̆	морской ёж	
631	лағи	кета (осенняя)	
632	"лағи лоӈ, лағи вота лоӈ"	сентябрь (букв.: месяц заготовки юколы из ке­ты)	
633	лағод	испугаться	
634	"лаӻа, лаӻай, лаӻи, леф"	"возле, около, рядом"	
635	лаӻлаӽ	казарка (утка) 	
636	"лазинд, ласид"	"идти мимо, миновать (кого-, что-л.)"	
637	лаӄ	лыжи	
638	лаӄвд	"кружать (кого-, что-л.) "	
639	"лаӄвт, лаӄвр̆"	вокруг	
640	лаӄи	сельдь	
641	лаӄлаӄт	1. быть гладким; 2. гладкий 	
642	лаӄрд	"играть (с чем-л., во что-л.) "	
643	"лaӄр̆ I, папак"	1. игрушка; 2. игрушечный	
644	"лaӄр̆ II, ӿолу, ӿоло"	белка	
645	ламламд	нащупывать (в темноте) 	
646	лаӈрад 	1. быть стоящим; 2. стоящий 	
647	"лаӈрд, лаӈрайд"	"занимать, одалживать"	
648	лаӈр̆	1. нерпа; 2. нерпичий	
649	ларвилд	"волноваться, бушевать (о море, реке)"	
650	лар̆ I	волна	
651	лар̆ II	водоросль	
652	лар̆кт I	идти берегом	
653	лар̆кт II	"плыть (по течению, быть несомым течением)"	
654	лар̆кт III	разделывать тушу медведя	
655	лар̆куд	сплавлять (лес); отправлять вплавь по течению реки (что-л.)	
656	лар̆ӄ	"1) рубашка, сорочка; 2) женское платье"	
657	лас	мимо	
658	ласӄ	бычок-каменушка (рыба)	
659	"латт, латнд, яйд"	"1) делать, производить 2) совершать, исполнять; 3) строить, сооружать, воздвигать; 4) выделывать, обрабатывать "	
660	латьр̆	подстилка	
661	латьт	подстилать	
662	лаўк	жаворонок	
663	лаўлаўд	"спорить, препираться (с кем-л.)"	
664	лаўлаўк	спорщик	
665	"лах I, чарӈи"	"облако, туча"	
666	лах II 	"о (об, обо)"	
667	лаюд	"1) бушевать (о ветре, пурге, буране); 2) дуть (о сильном ветре в течение длительного времени); 3) мести, вьюжить (о снеге) "	
668	лвиск	опорки	
669	леӻд	1. 1) скользить; 2) быть скользким; 2. скользкий	
670	леле	"очень, особенно "	
671	леп	хлеб; булка 	
672	лерд	"играть (во что-л., на чём-л.) "	
673	лердаф	клуб	
674	лернивӈ 	арТИСТ	
675	леруд	ошибаться	
676	лерф	место игрищ	
677	лер̆п’иӈ	нивх (житель западного побережья острова Сахалин)	
678	"лес, лес-лес"	"вдоволь, достаточно "	
679	"леф, лаӻа, лаӻай, лаӻи"	"возле, около, рядом"	
680	лиғрд	"ЗаСТЫВаТЬ, густеть "	
681	лиғр̆	1. волк; 2. волчий 	
682	лизӈулад	"быть нудным, надоедливым"	
683	лизӈула	"нудный, надоедливый"	
684	лир̆куд	"1) отодвигать, отставлять, сдви­гать, пододвигать; 2) вывихнуть"	
685	лискт	"быть опрятным, аккуратным, чи­стым"	
686	лоӻай	журавль	
687	"лоӻвуд, ЛОӻВД"	"ударять, стучать кулаком (по чему-л.)"	
688	лод	"1) стать тесным; 2) стянуться, затянуться; 3) уменьшиться в размере"	
689	лойм	1) голец (рыба); 2) форель (рыба)	
690	лоӄ	камбала (гладкая) 	
691	лоӄрд	1. быть свежим; 2. свежий	
692	лоӄруд II	"зарядиться (энергией, силой, свежестью)"	
693	лоӄруд II	насаживать (что-л.) на руко­ять	
694	лолод	"клевать, долбить (о птице) "	
695	лоӈ	"1) месяц, луна (небесное светило); 2) месяц (часть года)"	
696	"лор̆, олр̆"	дятел	
697	"лоти, лотя"	русский	
698	лу	песня	
699	лувр̆	ложка	
700	луд I	петь	
701	луд II 	"плести, вязать"	
702	лук	"лохматый, мохнатый (о животном)"	
703	лумр̆	"съестные припасы, провизия, провиант, продовольствие"	
704	луӈ	сверло	
705	лур̆	"1) лёд (на реке, на море); 2) льдина"	
706	лығӈи	МОРСКОЙ КОТИК (животное)	
707	лыд	отталкиваться палками (лыжными)	
708	лызлызд	"наряжать (кого-, что-л.)"	
709	лый	1) гром; 2) гроза 	
710	лымд	"собирать, складывать, упаковывать (дорожный провиант)"	
711	"лых I, лах "	плавучий гарпун для ловли тюленей	
712	лых II	1. дождь; 2. дождливый	
713	лыхайр̆	дождевик (плащ) 	
714	ма	1) юкола (вяленая рыба) 	
715	мағд I	"заходить, закатываться (о солнце)"	
716	мағд II	"спускаться (сверху вниз с горы, с берега к воде)"	
717	маӻд	"разделывать, обрабатывать (рыбу)"	
718	"мағр̆ алр̆, чир алр̆, пaӻлaӈ алр̆ "	брусника (ягода)	
719	мад	1. быть близким; 2. близкий 	
720	мадь	кожа (рыбы)	
721	"макрд, макырд I"	"быть прямым, ров­ным"	
722	макрла	"прямой, ровный"	
723	"макрд, макырд II"	"быть правильным, точным, честным"	
724	макрла	"пра­вильный, точный, честный "	
725	мaӄp ма	юкола (второй пласт рыбы)	
726	малаф	"вблизи, поблизости"	
727	малӻод	"быть многочисленным, составлять множество"	
728	малӻола	многочис­ленный 	
729	мам	жена	
730	мамӻать	"старуха, старушка"	
731	мамд 	"сжимать, прижимать, сдавливать"	
732	мандир ма	юкола с кожей (первый пласт рыбы)	
733	маӈӷд	"1) быть крепким, могучим; 2) быть стойким, упорным, настойчивым; 3) быть ценным, важным, значи­тельным; 4) быть трудным, сложным"	
734	маӈӷла	"1) крепкий, могучий; 2) стой­кий, упорный, настойчивый; 3) цен­ный, важный, значительный; 4) труд­ный, сложный"	
735	мард	"1) подниматься, взбираться; 2) всхо­дить (о светилах)"	
736	марр̆	чешуя (рыбы) 	
737	марф	1) место подъёма в гору; 2) подъём; круча	
738	"мар̆ I, п’хыйксо, кылчо"	налим (рыба)	
739	"мар̆ II, мор̆"	"числ. два, две (для счёта животных и рыб)"	
740	мар̆к 	рыбья кость 	
741	мар̆кт	1) наливать; 2) поливать 	
742	мacӄco	краснопёрка (рыба) 	
743	мacӄco лоӈ	июнь	
744	матюд	уменьшать 	
745	махтур̆	1) правда; 2) искренность; 3) чест­ность	
746	меӻоӄр	числ. двадцать (для счёта пред­метов разнообразной формы)	
747	"мезлаӈ алр̆, метеӄ алр̆"	рябина (ягода) 	
748	"мезлаӈ сӽар̆, метеӄ ӈакс"	"рябина (де­рево, кустарник)"	
749	"меӄ, воӈи"	кабарга	
750	меӄр̆	"числ. два, две (для счёта предметов разнообразной формы)"	
751	мем I 	1. радуга; 2. радужный 	
752	"мем II, мемӈ "	1. обезьяна; 2. обезьяний	
753	менм	вдвоём	
754	менӈ	"числ. два, две (для счёта людей)"	
755	мень	весло (рулевое) 	
756	меӈ	МЫ (двое) 	
757	"мeӈӷай, мемӻай"	ящерица	
758	месӄ	серьги	
759	меўтиӈоӽт	порох	
760	"меўтю, меўтиӈ"	1. ружьё; 2. ружейный	
761	ми	"в, внутри "	
762	мик	"числ. два, две (для счёта мелких округлых предметов)"	
763	"милк, кинр̆"	дух (злой) 	
764	"милкмла, мла"	гриб	
765	мимк	толстолобик (рыба) 	
766	мин	"1) мы (включая всех присутствую­щих); 2) наш, наша, наше; наши"	
767	минр̆	числ. восемь (для счёта предме­тов разнообразной формы)	
768	минр̆мӻоӄр̆	числ. восемьдесят (для счё­та предметов разнообразной формы)	
769	мири	жаба	
770	митр̆	поварёшка	
771	миф	"1) земля, почва; суша, материк; 2) страна, край, местность, территория"	
772	мифчаӽ	родник	
773	мифчоӽ	1. нефть; 2. нефтяной 	
774	"мла I, милкмла"	гриб	
775	"мла II, нос"	1. ухо; 2. ушной 	
776	"мласӄ, уғр̆ к’ути"	петля (на одежде)	
777	"моӻд, омӻд"	стричь волосы	
778	моӄр̆	ком; кусок (чего-л.) 	
779	"мондолӄ, пук ғи"	обувь с загнутыми вверх носками	
780	"мор̆, мар̆"	"числ. два, две (для счёта жи­вотных и рыб)"	
781	"мор̆ӄад, мор̆ӄанд"	быть живым	
782	мор̆ӄа	живой	
783	мос	"1) национальное блюдо (приготовленное из рыбьей кожи, нерпичьего жира и ягод); 2) студень "	
784	мот	подушка	
785	мотор му	моторная  лодка	
786	мотьт	целовать	
787	мpaӈ	1) дело (юридическое); 2) преступление; 3) вина	
788	мpaӈид I	"прогонять, изгонять, выгонять"	
789	мpaӈид II	лениться	
790	мpaӈила	ленивый	
791	мpaӈилак	"лентяй, лодырь"	
792	мролвд	"быть старым, давним"	
793	мролв	"старый, давний "	
794	мрыд	купаться	
795	му	лодка	
796	муви	людо из мятых ЯГОД с сахаром	
797	муғф	день	
798	муғф-муғф	ежедневно	
799	муд I	умирать	
800	му	мёртвый	
801	муд II	"становиться (каким-л.), делаться (кем-л.)"	
802	"музр̆, музыр̆"	шест (для вяления рыбы)	
803	муйвуд	быть больным	
804	муйву	больной	
805	мумк	лодочка	
806	"мумъёд, п’еӻод"	"торопиться, спешить"	
807	мупык	сом (рыба) 	
808	мурд	вычерпывать воду из ЛОДКИ	
809	мур нонӄ	жеребёнок	
810	мурӈ	"1. лошадь, конь; 2. лошадиный, конский"	
811	мурр̆	черпак	
812	мур̆ки	1. рог (животного); 2. рогатый	
813	мускыр̆	тополь	
814	"муспи, ыр̆кыр̆"	берег	
815	му хити лоӈ	ноябрь	
816	мӽоӄр̆	числ. деСЯТЬ (для счёта предметов разнообразной формы) 	
817	мӽоӈ I	десять (для счёта людей)	
818	"мӽоӈ II, мӽос"	числ. десять (для счёта животных и рыб)	
819	мӽоӽ	числ. десять (для счёта мелких округлых предметов)	
820	мы	"исток (реки,) "	
821	мыд	слушать	
822	мыньк	грудь (женская) 	
823	мыньхчаӽ	молоко	
824	мытькид	быть маленьким	
825	мытькила	маленький	
826	мытьк ымк	младшая сестра матери (букв.: младшая мама)	
827	мытькылк	1) младший; 2) маленький	
828	мых	нос (лодки) 	
829	нават	теперь	
830	нагвыл	в то время 	
831	наӻӈ	нары	
832	намагур̆	"1) хорошо, отлично; 2) тща­тельно; 3) прилежно, аккуратно"	
833	намад	"1) быть хорошим, отличным; 2) быть тщательным; 3) быть прилеж­ным, аккуратным"	
834	нама	"1) хороший, отличный; 2) тщательный; 3) прилеж­ный, аккуратный"	
835	намр̆	вчера	
836	намр̆анк	позавчера	
837	нана	только что	
837.1	нек	недавно	
838	нанӽ	старшая сестра 	
839	напы	"до сих пор, всё ещё "	
840	нар̆	"мест. вопр. кто, кого, кому; чей (по отношению к человеку)"	
841	наў	стружки (ритуальные) 	
842	наўд	хватать (быть достаточным) 	
843	наўх	сегодня	
844	наф	" 1. теперь, сейчас, в настоящий момент, в данное время; 2. нынешний, современный"	
845	невд	"вытирать, обтирать "	
846	невр̆ӄай	"ресница, ресницы"	
847	нед I	надевать (головной убор)	
848	нед II	"поднимать, взваливать на плечи (кого-, что-л.)"	
849	немӄа	числ. тысяча 	
850	немӽ	комар	
851	ненид	быть сладким	
852	ненила	сладкий	
853	ненӄ	кукла	
854	ненӈ	"числ. один, одна, ОДНО (для счёта людей)"	
855	"нетф, ӈыньк, оск"	1. ЛИЦО (ЧЕЛОВЕКА); 2. лицевой	
856	нё	1) амбар; 2) летнее свайное жилище	
857	нёлуд I	быть капризным	
858	нёлу	капризный	
859	нёлуд II	"закрывать глаза, прищуриваться"	
860	нёни	1. гусь; 2. гусиный 	
861	ни	1) я; 2) мой	
862	нивӈ	человек	
863	нивӈгун	ЛЮДИ	
864	ниғвӈ	1. нивх; 2. нивхский 	
865	ник	"числ. один, одна, одно (для счёта мелких округлых предметов)"	
866	нин	1) мы (без вас); 2) наш 	
867	нинеӄ	"немного, немножко "	
868	"нлайс валад, ӄоӈӷр валад"	1. быть зелё­ным; 2. зелёный	
869	нлами	половина	
870	ноӻд	"1. 1) пахнуть, благоухать; 2) вонять; 2.1) запах; 2) вонь"	
871	ноӻла	"1) паху­чий, ароматный; 2) вонючий"	
872	нод	1) заплетать волосы в косу; 2) плести	
873	"нокд, нокт"	"нюхать, принюхиваться, вы­нюхивать"	
874	"нос, мла"	1. ухо; 2. ушной	
875	носкт	1) быть узким; 2) быть тонким	
876	носкла	1) узкий; 2) тонкий	
877	"нотьрд, оӈтид"	оглохнуть	
878	"нотьрк, оӈтик"	глухой (о человеке) 	
879	нотьрлад	быть глухим	
880	нотьрла	глухой	
881	нр̆ак	однажды	
882	нр̆ыд	видеть	
883	НУғИД	"1) быть первым, начальным; 2) быть передовым (идущим впереди)"	
884	НУғИ	"1) первый, начальный; 2) Пе­реДОВОЙ"	
885	нуд	"1) мест. вопр. кто (по отношению к любому живому существу, кроме человека); что (по отношению к пред­мету); 2) чей "	
886	"нуко, туко"	"отстать, отстраниться, отойти"	
887	нур̆	числ. четыре (для счёта животных и рыб)	
888	нуть	стержневой ремень (к которому прикрепляются потяги в собачьей упряжи) 	
889	нух	"1. игла, иголка; 2. игольный "	
890	нухтнд	"1) кочевать, откочёвывать; 2) переселяться"	
891	нух ӿонтӄ	сумочка (с принадлежностями для шитья)	
892	нхукр̆	числ. сорок (для счёта разнооб­разных предметов)	
893	ныд	"1) делать (что-л.), заниматься (чем-л.); 2) поступать (каким-л. обра­зом)"	
894	ный	полуостровная песчаная коса (ко­торая отделяет часть моря и обра­зует залив) 	
895	ныкр̆	числ. четыре (для счёта предметов)	
896	нырӈ	числ. четыре (для счёта людей)	
897	ных	числ. четыре (для счёта мелких округлых предметов)	
898	ньӈар̆	лестница	
899	ньр̆аӈӷ	числ. сто	
900	нэӈ	идол	
901	няӻр̆	крыса	
902	няӄр̆	"числ. один, одна, одно (для счёта предметов разнообразной формы)"	
903	нян	"числ. один, одна, одно (для счёта животных и рыб)"	
904	"НЯНДОРӈ, няндор̆"	числ. девять 	
905	НЯНДОРӈмӻоӄр̆	числ. девяносто 	
906	няӽ	"1. глаз, глаза; 2. глазной"	
907	няӽ т’хы	веко	
908	ӈа	"1) животное, зверь; 2) насекомое "	
909	ӈавд	"1) заворачивать, закутывать (ко­го-л. во что-л.); 2) оборачивать, по­крывать (что-л. чем-л.)"	
910	ӈави I	свёрток	
911	ӈави II	1) гнездо; 2) улей 	
912	ӈавнь	1) коряга; 2) пень	
913	ӈавр̆ки	шерсть ( волосяной покров животного)	
914	ӈағд	"гнать, ПРОГОНЯТЬ"	
915	ӈағмӻоӄр̆	числ. шестьдесят	
916	"ӈағӈ, поӈағӈ"	нары	
917	ӈағр̆ I	"1. 1) шкурка, кожа животного; 2) пушнина, мех; 2. 1) кожаный; 2) пушной"	
918	ӈағр̆ II	1. стена; 2. СТеННОЙ 	
919	наӻри	ПЛеЧО	
920	"ӈaғc, ӈaғзыр̆, эмс, эмз"	зуб	
921	ығы ӈағс	передний зуб	
922	эмс ӈағс	коренной зуб	
923	ӄоӄр̆ ӈағс	нижний зуб	
924	к’икр̆ ӈағс	верхний зуб 	
925	"ӈад, ӈанд"	идти (за чем-л. с какой-л. целью)	
926	ӈазаӄрд	"пугаться, напугаться "	
927	ӈазд	"обмелеть (о реке, об озере)"	
928	ӈазл	"1) ступня, ступни; 2) подошва, под­метка"	
929	назлаф	отмель	
930	ӈазр̆ I	1) шкурка с лапы животного; 2) обшивка на лыжах из шкурки жи­вотного	
931	ӈазр̆ II	вена	
932	ӈaйғыр̆	КрЫЛО	
933	ӈайӄ	щенок	
934	ӈайн	"1) скула; 2) щека, щёки "	
935	ӈайр̆ I	заклёпка; затычка 	
936	ӈайр̆ II	1) подкладка; 2) подставка	
937	ӈаки	хвост	
938	ӈакс	1) кустарник; 2) поросль	
939	ӈаӄр̆	комья снега 	
940	"ӈалад, вотид"	" 1. быть похожим; 2. похожий; 3. будто, как будто (при сравнении) "	
941	ӈaлғyр̆	морской зверь	
942	ӈалд	стонать	
943	ӈaлӈыр̆	нёбо	
944	ӈалтир̆	1) бок; 2) ребро 	
945	ӈалр̆	"ПОЧКа, ПОЧКИ "	
946	ӈaлy	"бухта, губа (залив) "	
947	ӈалыд	1) бредить; 2) говорить невпопад	
948	ӈамадь	шкура (животного) 	
949	ӈaмгмӻоӄр̆	числ. семьдесят 	
950	ӈамк	числ. семь 	
951	ӈамх	"1. 1) волос, волосы; 2) шерсть; 3) ворс; 2. волосяной"	
952	ӈамхайр̆	"шпилька, заколка для волос"	
953	ӈанғд	"1) искать; 2) ОХОТИТЬСЯ; 3) ПрОМЫШЛЯТЬ, заниматься (каким-л.) промыслом"	
954	ӈаньғыф	1. кость; 2. 1) костный; 2) костяной	
955	"ӈаӈанғнивӈ, ӈаӈанғк"	"1. охотник, 2. охотничий"	
956	ӈаӈанғр̆	принадлежности для охоты	
957	ӈаӈанғф	"место ДЛЯ ОХОТЫ (в лесу, тайге)"	
958	ӈapғыр̆ I	"1. грудь, грудная клетка; 2. грудной"	
959	ӈapғыр̆ II	крыло птицы	
960	ӈapӻо лоӈ	октябрь	
961	ӈapӻод	"расставлять ЛОВУШКИ, ставить петли, самострелы"	
962	ӈapӻор̆	ловушка	
963	ӈapӻоф	"место, где расставлены ловуш­ки, петли, самострелы"	
964	ӈapд	"становиться жирным, тучным, упитанным"	
965	ӈapлад	"1. быть жирным, тучным, упи­танным;"	
966	ӈapла	"жирный, тучный, упитанный "	
967	ӈapлак	толстяк	
968	ӈapмыд	"ждать, ожидать, дожидаться"	
969	ӈарӈи	1. пихта; 2. ПИХТОВЫЙ	
970	"ӈар̆, чоӽ"	"1) кровь; 2) сок растений, ягод; 3) древесная смола"	
971	ӈaр̆ӄaд	щёлкать (давать щелчки) 	
972	ӈaр̆ӄaй I	блоха	
973	"ӈaр̆ӄaй II, ӈaр̆ӄей"	молоки (рыбы) 	
974	ӈас	"кожаный ПОЯС, ремень "	
975	ӈаск	задний ласт нерпы 	
976	ӈаски I	1) позвоночник; 2) хребет (о го­рах); 2. позвоночный	
977	ӈаски II	потолочная балка в жилом строении	
978	"ӈacӄaр̆, ӈacӄaй, ӈaӄр̆"	сугроб	
979	"ӈастуд, ӈастунд"	героический эпос	
980	ӈатр̆ I	"1) мера, мерка; 2) размер "	
981	ӈатр̆ II	"1) метка, знак, зарубка; 2) яр­лык, этикетка"	
982	ӈатт	"1) измерять; 2) отмечать, ставить метку, знак (на чём-л.)"	
983	ӈатуд	быть равным по возрасту 	
984	ӈатьх	"1) нога, ноги; 2) лапа животного; 3) ножка предмета"	
985	ӈаўк	икра (рыбы)	
986	ӈаўр̆	живот	
987	ӈаўр̆к	1. мозг; 2. мозговой 	
988	"ӈаўсор̆кт, ӈаўзор̆кт"	скучать	
989	ӈафӄ	"друг, товарищ, приятель "	
990	ӈах I	числ. шесть 	
991	ӈах II	"1) медвежий сруб (в котором содержится пойманный медведь); 2) клетка; 3) гнездо, дупло "	
992	ӈаю	1) овраг; 2) впадина; 3) ДОЛИНа 	
993	"ӈед, ӽазд"	"ругать, бранить "	
994	ӈезӈуд	"1. быть босым, разутым; 2. босой, разутый"	
995	ненӈ	"числ. один, одна, одно "	
996	ӈетт	падать (об уровне воды) 	
997	ӈиғыд	благодарить	
998	ӈирӈ	"1) чашка; тарелка; 2) посуда, утварь"	
999	ӈиф	 1. сердце; 2. сердечный 	
1000	ӈойӄ	яйцо	
1001	ӈол	тропинка	
1002	"ӈOPӈ алр̆, тай алр̆, эрӈи"	морошка (ягода)	
1003	ӈоӽ	сало	
1004	ӈУЛИД	"улыбаться, усмехаться "	
1005	ӈуруд	"качать, выкачивать (что-л. насосом)"	
1006	ӈурур̆	насос	
1007	ӈур̆	"сердцевина (стебля, ствола)"	
1008	"ӈфaр̆, валки"	цепь	
1009	ӈыд	"1. быть тёмным, сумрачным; 2. тёмный, сумрачный"	
1010	ӈыДръюд	Храпеть	
1011	ӈыЙpЫӈ	правый (о стороне)	
1012	ӈылад	"становиться сумрачным, тёмным"	
1013	ӈыла	"сумрачный, тёмный"	
1014	ӈым	брюшина	
1015	ӈыHғД	1. быть жадным; 2. жадный	
1016	ӈынд	"обжаривать, жарить "	
1017	"ӈыньк, нетф, оск"	1. лицо (человека); 2. лицевой	
1018	оваӈ	1. мука; 2. мучной 	
1019	овд	возиться	
1020	"оӻла, эӻлӈ"	"1. 1) ребёнок, дитя; 2) сын; 3) дочь; 4) внук; 2. детский"	
1021	оӻм	1. кора (древесная); корьё; 2. корьевой (сделанный из коры)	
1022	оӻӈи	"гуща, осадок (в жидкости) "	
1023	оӻри	1. затылок; 2. заТыЛОЧНЫЙ	
1024	оӻроф	соболь	
1025	оӻр̆ I	желудок (рыбы)	
1026	оӻр̆ II	1) посылка; 2) гостинец	
1027	оӻр̆кид	"ПОСЫЛаТЬ, отпраВЛЯТЬ"	
1028	"озавд, винд"	"жалеть, скупиться "	
1029	озд	"вставать, просыпаться "	
1030	озмыр̆	гарпун	
1031	озр̆	1. муравей; 2. муравьиный 	
1032	ойдым	"младенец, грудной ребёнок"	
1033	ойр̆	1. можжевельник; 2. можжевеловый	
1034	оӄ	"пальто, шуба "	
1035	ол	подмышка	
1036	олӻоӈ	"1. свинья, кабан; 2. свиной "	
1037	"олр̆, лор̆"	дятел	
1038	олӽ	1. КаМыШ; 2. КаМыШОВЫЙ 	
1039	онёньд	"капризничать (о ребёнке, девуш­ке)"	
1040	онь	1) длинный шест для подтягивания сети; 2) рост человека 	
1041	Oӈapд	жалеть	
1042	"оӈтид, нотьрд "	оглохнуть	
1043	"оӈтик, нотьрк"	глухой (о человеке) 	
1044	"орботт, орботнд"	1. работать; 2. работа	
1045	орботф	место работы 	
1046	орвукр̆	верёвка для укрепления паруса в лодке	
1047	орми	1. глина; 2. 1) глиняный; 2) глинистый	
1048	орӈ	1) корыто; 2) кормушка	
1049	орӈар̆	"орок, уильта"	
1050	орор̆	женьшень	
1051	орр̆ I	1. вблизи; 2. край 	
1052	"орр̆ II, уғри"	"лоскут, тряпка "	
1053	ор̆	пола (нижняя часть одежды) 	
1054	ос	1) корень; 2) стержень; 3) комель (дерево)	
1055	"оск I, ӈыньк, нетф"	1. лицо (человека); 2. лицевой	
1056	"оск II, ӿыйк, ӿайӈ"	1. заяц; 2. заячий	
1057	"осӄад, осӄуд"	"переплывать (реку, залив, озеро)"	
1058	"остол, ӄ’аўри "	тормоз (для нарт) 	
1059	отад	табанить (вести лодку кормой вперёд)	
1060	отомд	1. быть тесным; 2. тесный 	
1061	отт	"пятиться, двигаться назад"	
1062	оӽ	корыто	
1063	оӽт I	лекарство	
1064	оӽт II	1. порох; 2. пороховой 	
1065	оӽт III	порошок	
1066	оӽтал	горсть	
1067	"паӻд I, паӻлад"	1) быть красным; 2) быть рыжим (о масти животного)	
1068	паӻла	1) красный; 2) рыжий (о ма­сти животного)	
1069	"паӻд II, кр̆уӈи"	кулик	
1070	"паӻи, т’леўла ӈa"	куропатка	
1071	"пaӻлaӈ алр̆, мағр̆ алр̆, чир алр̆"	1. брус­ника (ягода); 2. брусничный	
1072	пазд	"бросать, кидать, швырять "	
1073	"пазр̆, пасӄ"	половина (часть парного предмета)	
1074	пай	"напрасно, зря, попусту, бесполезно"	
1075	пай-вай	межд. беда-беда 	
1076	"пал, палӈ"	"1. 1) лес; 2) гора, покрытая лесом; сопка; 2. лесной"	
1077	панд	"1) родиться, появиться на свет; 2) расти, произрастать; 3) плодиться"	
1078	пандф	место рождения	
1079	пани	сима (рыба) 	
1080	паньх	суп; бульон	
1081	"паӈ, ваӈ"	поплавок	
1082	"папак, лаӄр̆"	1. игрушка; 2. игрушечный	
1083	пард	"быть рыжим, рыжеволосым"	
1084	парф	1. вечер; 2. вечерний 	
1085	"пар̆к виӈ т’у, пыр̆к виӈ т’у "	автомобиль	
1086	пар̆пард	парить	
1087	пасӄи	бычок крупной породы (рыба) 	
1088	пат	1. завтра; 2. завтрашний 	
1089	"патад, патинд"	"1. 1) быть спокойным, тихим; 2) быть скромным, сдержанным; 3) быть медленным, неторопливым; 2. 1) спокойный, тихий; 2) скромный, сдержанный; 3) медленный, нетороп­ливый"	
1090	"патигур̆, патигут "	"1) тихо, спокойно; 2) медленно, неторопливо"	
1091	паўди	"безалаберно, беспорядочно, кое-как, как попало"	
1092	паӽ	1. камень; 2. каменный 	
1093	пед	делает стойку 	
1094	"пелад, т’вир̆к"	жёлчь	
1095	пеӈъюд	"1) жужжать, стрекотать (о насе­комом); 2) свистеть (о стреле, пуле)"	
1096	перд	"1. 1) быть тяжёлым (по весу); 2) быть нудным, надоедливым; 2. 1) тяжёлый; 
2) нудный, надоедливый"	
1097	"пер̆ӄт, пер̆ӄад, ӿеўд"	1. быть кривым; 2. кривой	
1098	петар̆	"полоса ткани с узором, приши­ваемая на ПОДОЛ платья"	
1099	пехур̆	грузило	
1100	пилд	быть большим	
1101	пила	большой	
1102	пила ымк	"старшая сестра матери (букв.: большая мама, старшая мама)"	
1103	пимс	дядя (брат отца) 	
1104	пиӈ	лепешка	
1105	пиӈрд	1. быть дешёвым; 2. дешёвый 	
1106	пир̆ку лоӈ	июль	
1107	пир̆пирд	"вращаться, кружиться, кру­титься"	
1108	ПИТғЫӈ	1. 1) КНИГа; 2) ПИСЬМО; 2. КНИЖный	
1109	пиўд	быть чёрным	
1110	пиўла	чёрный	
1111	пихти	1. колено; 2. коленный	
1112	плеўд	"гулять, прогуливаться "	
1113	позд	лежать (о человеке и животном)	
1114	пойд	"виднеться, показываться, появляться"	
1115	поку	1. горб; 2. горбатый 	
1116	полд	падать (терять равновесие) 	
1117	полмд	1. быть слепым; 2. слепой 	
1118	полмк	слепой (о человеке) 	
1119	поми	дельфин	
1120	"поӈағӈ, ӈағӈ"	нары	
1121	поп	узел волос на затылке 	
1122	попупр̆	1) завязка для волос; 2) искусственная женская коса	
1123	пороф	ровное место 	
1124	порӽ	прут	
1125	пос	"ткань, материал, материя "	
1126	"посӄ, к’р̆у"	послезавтра	
1127	потад	заготавливать рыбу впрок во время путины	
1128	поти	"отверстие, делаемое в юколе (для навешивания её на жердь)"	
1129	потюрд	"1. быть красивым, прекрасным; 2. красивый, прекрасный"	
1130	"потя, к’узи, ӿир̆кур̆"	петля (ловушка для пушных зверей)	
1131	пуд	"1) созревать, поспевать, наливаться соком (о ягоде); 2) назревать (о нарыве)"	
1132	пузъюд	"сорить, мусорить "	
1133	пуйд	летать	
1134	пуйму	самолёт	
1135	пуйӈа	птица	
1136	пук I	1) носовая часть рыбы; 2) морда осетровых и лососёвых рыб	
1137	пук II	носок обуви 	
1138	"пук ғи, мондолӄ"	обувь с загнутыми вверх носками	
1139	пукр̆	1) ремешок в виде петли (которым прикрепляется охотничий нож к поя­су); 2) привязь в нартовой собачьей упряжке 	
1140	пулбулр̆	шар	
1141	ПУЛғЪЮД	бурлить	
1142	пулк	"1) мячик; 2) клубок, моток "	
1143	пулкр̆ I	жёлудь	
1144	пулкр̆ II	"окружность, круг "	
1145	пулкуд	1. быть круглым; 2. круглый	
1146	пунд	лук (старинное оружие) 	
1147	пуньд	"капать, течь, стекать, сочиться"	
1148	пупк	ракушка с закрытыми створками	
